ticker,company,sector,industry,country,market_cap_usd,market_cap_fmt,pe_num,price_num,change_pct,volume_num
EXTR,Extreme Networks Inc,Technology,Communication Equipment,USA,1985850000,1.9858B,221.41,14.79,0,0
EYE,National Vision Holdings Inc,Consumer Discretionary,Specialty Retail,USA,2146910000,2.1469B,,27.07,0,0
EYPT,EyePoint Inc,Healthcare,Biotechnology,USA,1101070000,1.1011B,,13.3,0.08,10094
EZPW,"EZCorp, Inc",Financials,Credit Services,USA,1326830000,1.3268B,15.96,21.79,0.74,383
F,Ford Motor Co,Consumer Discretionary,Auto Manufacturers,USA,54948280000,54.9483B,11.82,13.79,-0.14,21619
FA,First Advantage Corp,Industrials,Specialty Business Services,USA,2385370000,2.3854B,,13.7,0,0
FAF,First American Financial Corp,Financials,Insurance - Specialty,USA,6516510000,6.5165B,13.74,63.95,0,0
FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P,USA,45282510000,45.2825B,10.99,158.04,-0.38,136
FAST,Fastenal Co,Industrials,Industrial Distribution,USA,51410010000,51.4100B,40.93,44.78,-0.04,979
FAX,abrdn Asia-Pacific Income Fund Inc,Financials,Closed-End Fund - Debt,USA,648140000,648.1400M,17.84,15.7,0,0
FBIN,Fortune Brands Innovations Inc,Industrials,Building Products & Equipment,USA,6535530000,6.5355B,20.32,54.4,0,0
FBIZ,First Business Financial Services Inc,Financials,Banks - Regional,USA,489800000,489.8000M,9.85,58.84,0,0
FBK,FB Financial Corp,Financials,Banks - Regional,USA,3141460000,3.1415B,24.45,58.76,0,0
FBNC,First Bancorp,Financials,Banks - Regional,USA,2433190000,2.4332B,21.9,58.68,0,0
FBP,First Bancorp PR,Financials,Banks - Regional,USA,3552000000,3.5520B,10.48,22.49,0,0
FBRX,Forte Biosciences Inc,Healthcare,Biotechnology,USA,432050000,432.0500M,,34.49,0,0
FBYD,Falcon's Beyond Global Inc,Industrials,Conglomerates,USA,329750000,329.7500M,,6,0,0
FCBC,First Community Bankshares Inc,Financials,Banks - Regional,USA,693040000,693.0400M,14.27,37.84,0,0
FCEL,Fuelcell Energy Inc,Industrials,Electrical Equipment & Parts,USA,362790000,362.7900M,,7.6,3.4,2514
FCF,First Commonwealth Financial Corp,Financials,Banks - Regional,USA,1895800000,1.8958B,12.43,18.27,0,0
FCFS,FirstCash Holdings Inc,Financials,Credit Services,USA,7577390000,7.5774B,24.79,171.69,0,0
FCN,FTI Consulting Inc,Industrials,Consulting Services,USA,5459200000,5.4592B,,176.81,0,0
FCNCA,"First Citizens Bancshares, Inc (NC)",Financials,Banks - Regional,USA,25732560000,25.7326B,12.65,2097.35,0,0
FCRS,FutureCrest Acquisition Corp,Financials,Shell Companies,USA,369480000,369.4800M,,10.28,0,0
FCX,Freeport-McMoRan Inc,Materials,Copper,USA,91325180000,91.3252B,42.01,63.6,4.67,113920
FDMT,4D Molecular Therapeutics Inc,Healthcare,Biotechnology,USA,466720000,466.7200M,,9.15,0,0
FDP,Fresh Del Monte Produce Inc,Consumer Staples,Farm Products,USA,1891880000,1.8919B,24.16,39.6,0,36
FDS,Factset Research Systems Inc,Financials,Financial Data & Stock Exchanges,USA,9126420000,9.1264B,15.65,246,-1.11,463
FDUS,Fidus Investment Corp,Financials,Asset Management,USA,702690000,702.6900M,8.21,19.29,0,0
FDX,Fedex Corp,Industrials,Integrated Freight & Logistics,USA,80287390000,80.2874B,18.84,341.47,1.84,9484
FE,Firstenergy Corp,Utilities,Utilities - Regulated Electric,USA,27144510000,27.1445B,20.41,46.99,0,0
FEIM,"Frequency Electronics, Inc",Technology,Communication Equipment,USA,521930000,521.9300M,24.36,53.38,0,0
FELE,"Franklin Electric Co., Inc",Industrials,Specialty Industrial Machinery,USA,4543170000,4.5432B,33.33,102.07,0,0
FERG,Ferguson Enterprises Inc,Industrials,Industrial Distribution,USA,49715610000,49.7156B,25.7,254.24,-0.27,49
FET,Forum Energy Technologies Inc,Energy,Oil & Gas Equipment & Services,USA,529650000,529.6500M,,46.55,1.88,335
FFA,First Trust Enhanced Equity Income Fund,Financials,Closed-End Fund - Equity,USA,442140000,442.1400M,9.14,22.12,0,0
FFBC,First Financial Bancorp,Financials,Banks - Regional,USA,3080980000,3.0810B,11.09,29.48,1.06,100
FFC,Flaherty & Crumrine Preferred and Income Securities Fund Inc,Financials,Closed-End Fund - Debt,USA,807460000,807.4600M,10.1,16.76,0,0
FFIC,Flushing Financial Corp,Financials,Banks - Regional,USA,545520000,545.5200M,29.86,16.15,0,0
FFIN,"First Financial Bankshares, Inc",Financials,Banks - Regional,USA,4641310000,4.6413B,18.34,32.41,0,0
FFIV,F5 Inc,Technology,Software - Infrastructure,USA,15948010000,15.9480B,23.23,280.72,0,0
FFWM,First Foundation Inc,Financials,Banks - Regional,USA,536260000,536.2600M,,6.47,0,0
FG,F&G Annuities & Life Inc,Financials,Insurance - Life,USA,4008970000,4.0090B,8.89,29.78,0,0
FHB,First Hawaiian INC,Financials,Banks - Regional,USA,3263720000,3.2637B,12,26.38,0,0
FHI,Federated Hermes Inc,Financials,Asset Management,USA,4165820000,4.1658B,10.34,53.72,0,0
FHN,First Horizon Corporation,Financials,Banks - Regional,USA,12037700000,12.0377B,13.23,24.82,0,0
FHTX,Foghorn Therapeutics Inc,Healthcare,Biotechnology,USA,342700000,342.7000M,,5.85,0,0
FIBK,First Interstate BancSystem Inc,Financials,Banks - Regional,USA,3787400000,3.7874B,12.5,36.81,0,0
FICO,Fair Isaac Corp,Technology,Software - Application,USA,34397090000,34.3971B,53.68,1450,-0.06,8
FIG,Figma Inc,Technology,Software - Application,USA,11770300000,11.7703B,,23.75,-1.04,116014
FIGR,Figure Technology Solutions Inc,Financials,Capital Markets,USA,11114820000,11.1148B,,51.94,-0.71,152638
FIGS,Figs Inc,Consumer Discretionary,Apparel Manufacturing,USA,1825940000,1.8259B,111.78,11.1,0,0
FIP,FTAI Infrastructure Inc,Industrials,Conglomerates,USA,674510000,674.5100M,,5.8,0,0
FIS,"Fidelity National Information Services, Inc",Technology,Information Technology Services,USA,29041070000,29.0411B,176.63,56.08,0,0
FISI,Financial Institutions Inc,Financials,Banks - Regional,USA,683430000,683.4300M,9.41,33.95,0,0
FISV,"Fiserv, Inc",Technology,Information Technology Services,USA,33443630000,33.4436B,9.62,62.18,-1.21,23619
FITB,Fifth Third Bancorp,Financials,Banks - Regional,USA,47346750000,47.3468B,14.7,51.95,0,0
FIVE,Five Below Inc,Consumer Discretionary,Specialty Retail,USA,10910070000,10.9101B,35.52,197.8,0,52
FIVN,Five9 Inc,Technology,Software - Infrastructure,USA,1408670000,1.4087B,50.59,18.01,0.17,84
FIX,"Comfort Systems USA, Inc",Industrials,Engineering & Construction,USA,41630070000,41.6301B,49.98,1180.26,0.34,219
FIZZ,National Beverage Corp,Consumer Staples,Beverages - Non-Alcoholic,USA,3233120000,3.2331B,17.34,34.53,0,0
FLEX,Flex Ltd,Technology,Electronic Components,USA,24128820000,24.1288B,28.8,65.25,0.88,152
FLG,Flagstar Bank NA,Financials,Banks - Regional,USA,5612700000,5.6127B,,13.5,0,416
FLGT,Fulgent Genetics Inc,Healthcare,Diagnostics & Research,USA,807430000,807.4300M,,26.12,0,0
FLNC,Fluence Energy Inc,Utilities,Utilities - Renewable,USA,5792620000,5.7926B,,31.52,2.04,16809
FLO,"Flowers Foods, Inc",Consumer Staples,Packaged Foods,USA,2369420000,2.3694B,12.26,11.22,-0.27,1933
FLOC,Flowco Holdings Inc,Energy,Oil & Gas Equipment & Services,USA,1897100000,1.8971B,41.1,21.16,0,0
FLR,Fluor Corporation,Industrials,Engineering & Construction,USA,7583640000,7.5836B,2.39,47.05,0.36,260
FLS,Flowserve Corp,Industrials,Specialty Industrial Machinery,USA,10067550000,10.0676B,23.04,79.2,0,0
FLUT,Flutter Entertainment Plc,Consumer Discretionary,Gambling,USA,28250770000,28.2508B,,161.18,-0.82,4040
FLY,Firefly Aerospace Inc,Industrials,Aerospace & Defense,USA,3667550000,3.6675B,,23.03,0.74,27719
FLYW,Flywire Corp,Technology,Software - Infrastructure,USA,1536360000,1.5364B,,12.58,0,0
FMAO,Farmers & Merchants Bancorp Inc,Financials,Banks - Regional,USA,378400000,378.4000M,11.95,27.52,-0.61,25
FMBH,First Mid Bancshares Inc,Financials,Banks - Regional,USA,1045630000,1.0456B,11.38,43.58,0,0
FMC,FMC Corp,Materials,Agricultural Inputs,USA,1966240000,1.9662B,,15.74,0.58,870
FMNB,Farmers National Banc Corp,Financials,Banks - Regional,USA,492120000,492.1200M,9.01,13.07,0.38,1
FNB,F.N.B. Corp,Financials,Banks - Regional,USA,6389160000,6.3892B,11.39,17.84,0,0
FND,Floor & Decor Holdings Inc,Consumer Discretionary,Home Improvement Retail,USA,7073110000,7.0731B,32.82,65.64,0,0
FNF,Fidelity National Financial Inc,Financials,Insurance - Specialty,USA,14949700000,14.9497B,12.83,55.14,0,0
FNLC,First Bancorp Inc (ME),Financials,Banks - Regional,USA,313580000,313.5800M,9.1,27.95,0,0
FOA,Finance of America Companies Inc,Financials,Credit Services,USA,417080000,417.0800M,,23.33,0,0
